01A,Afognak Lake Airport
03A,Bear Creek Mining Strip
04A,Lik Mining Camp
05A,Little Squaw Airport
06A,Kizhuyak Bay
07A,Klawock Seaplane Base
08A,Elizabeth Island Airport
09A,Augustin Island
1B1,Columbia County
1G4,Grand Canyon West
1N7,Blairstown Airport
6B0,Middlebury State
8F3,Crosbyton Municipal
A01,Blair Lake
A02,Deadmans Bay Airport
A03,Hallo Bay Airport
A04,Red Lake Airport
A05,Shell Lake Airport
A06,Navigator Airstrip
A07,Roland Norton Memorial
A08,Pillar Bay Airport
A09,Johnstone Point Airport
A11,Bell Creek Airport
A12,Cinnabar Airport
A13,Mountaintop Mine Airport
A14,Whitebear Airport
A15,Puviaq Airport
A16,Arley Lake Airport
A17,Port Vita Airport
A18,Kantishna Airport
A19,Lonely AS
A20,Alpine Airstrip
A21,Serpentine Airport
A22,Driftwood Bay Airport
A23,Bradley Lake Airport
A24,Chilkat Lake Airport
A25,Nugget Creek Airport
A26,Ivotuk Airstrip
A27,Pogo Mines Airport
A28,Ayakulik River Airport
A29,Kiluda Bay Airport
A30,Terror Lake Airport
A31,Selief Bay Airport
A34,Laura Lake Airport
A35,Bullen Point AFS
A36,Deep Bay Airport
A37,Kako Airport
A38,Molly Creek Airport
A39,Ptarmigan Lake Airport
A40,Cape Simpson Airport
A41,Kogru River Airport
A42,Teshepkuk Lake Airport
A43,Trident Basin Seaplane Base
A45,Lake Florence Airport
A46,Lake Hasselborg Airport
A47,Distin Lake Airport
A48,Port Hobron Airport
A49,Mooseville Airstrip Airport
A50,Big Bay Airport
A51,Wien Lake Airport
A52,Silver Salmon Creek Airport
A53,Blear Lake Airport
A54,Cannery Bay Airport
A56,Johnsons Landing
A57,International Seafoods Airport
A58,Cosna River Airport
A59,Ivatuk Airport
A61,Cape Sarichef Airport
A62,Taylor Mountain
A63,Coal Creek
A65,Karluk Portage Airport
A66,Hope Airport
A67,Viekoda Bay Airport
A69,Cathedral Strip
A70,Village Islands Airport
A71,Bear Cove Farm
A72,Chinitna Bay Airport
A73,McKinley National Park
A74,Dog Fish Bay
A75,Malina Bay Airport
A76,Red Fox Bay Airport
